Model_Name,params,mean_test_r2_Score,mean_test_mean_sqrd_error
Ridge,{'alpha': 100},0.06037474827781513,0.0077652499186134415
DecisionTreeRegressor,"{'criterion': 'mse', 'max_depth': 1, 'min_samples_split': 2}",0.056273970737531445,0.007907970521622574
DecisionTreeRegressor,"{'criterion': 'mse', 'max_depth': 1, 'min_samples_split': 10}",0.056273970737531445,0.007907970521622574
DecisionTreeRegressor,"{'criterion': 'mse', 'max_depth': 1, 'min_samples_split': 5}",0.056273970737531445,0.007907970521622574
Ridge,{'alpha': 1000},-0.018798866391861478,0.008467066259917541
Lasso,{'alpha': 1},-0.06247427961416925,0.008899242627788862
Lasso,{'alpha': 50},-0.06247427961416925,0.008899242627788862
Lasso,{'alpha': 100},-0.06247427961416925,0.008899242627788862
Lasso,{'alpha': 1000},-0.06247427961416925,0.008899242627788862
RandomForestRegressor,"{'criterion': 'mae', 'max_depth': 1, 'min_samples_split': 10, 'n_estimators': 10}",-0.13960894818229486,0.009604002818218898
RandomForestRegressor,"{'criterion': 'mae', 'max_depth': 1, 'min_samples_split': 5, 'n_estimators': 10}",-0.13960894818229486,0.009604002818218898
RandomForestRegressor,"{'criterion': 'mae', 'max_depth': 1, 'min_samples_split': 2, 'n_estimators': 10}",-0.13960894818229486,0.009604002818218898
RandomForestRegressor,"{'criterion': 'mae', 'max_depth': 1, 'min_samples_split': 10, 'n_estimators': 100}",-0.14214031141150998,0.009641535451629732
RandomForestRegressor,"{'criterion': 'mae', 'max_depth': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.14214031141150998,0.009641535451629732
RandomForestRegressor,"{'criterion': 'mae', 'max_depth': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.14214031141150998,0.009641535451629732
DecisionTreeRegressor,"{'criterion': 'mae', 'max_depth': 1, 'min_samples_split': 2}",-0.16073475467251375,0.009722852145438736
DecisionTreeRegressor,"{'criterion': 'mae', 'max_depth': 1, 'min_samples_split': 10}",-0.16073475467251375,0.009722852145438736
DecisionTreeRegressor,"{'criterion': 'mae', 'max_depth': 1, 'min_samples_split': 5}",-0.16073475467251375,0.009722852145438736
